Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
HarvardX: Technology Entrepreneurship: Lab to Market,4.5stars,95 ratings,144789,5,HarvardX,Business & Management,Introductory,English,12516
RITx: Critical Thinking & Problem Solving,4.5,134 ratings,51591,3,RITx,Communication,Introductory,English,16685
IBM: Software Engineering Basics for Everyone,4.6,69 ratings,28482,6,IBM,Computer Science,Introductory,English,8301
MichiganX: Programming for Everybody (Getting Started with Python),4.7stars,141 ratings,581247,7,MichiganX,Computer Science,Introductory,English,4956
FullbridgeX: Communication Skills and Teamwork,4.5,322 ratings,31711,3,FullbridgeX,Business & Management,Introductory,English,None
ColumbiaX: Introduction to Corporate Finance,4.5,57 ratings,180233,4,ColumbiaX,Business & Management,Introductory,English,18865
NYIF: Intro to Stock Trading,3.9,38 ratings,31367,3,NYIF,Economics & Finance,Introductory,English,8301
edX: Prompt Engineering and Advanced ChatGPT,4.2,142 ratings,27916,1,edX,Computer Science,Intermediate,English,3354
AnahuacX: Inglés básico: conversacional y networking,4.3,48 ratings,298425,4,AnahuacX,Business & Management,Introductory,Español,3270
RaspberryPiFoundation: Introduction to Machine Learning and AI,4.5,144 ratings,13839,4,RaspberryPiFoundation,Education & Teacher Training,Introductory,English,4947
HarvardX: Using Python for Research,4.1stars,48 ratings,346823,12,HarvardX,Computer Science,Intermediate,English,20916
ArmEducationX: Build Your First Internet of Things (IoT) Application on Arm,4.4,213 ratings,13267,7,ArmEducationX,Computer Science,Intermediate,English,8301
UPValenciaX: Excel: Fundamentos y herramientas,4.6,49 ratings,438587,8,UPValenciaX,Computer Science,Introductory,Español,3270
IBM: Introduction to SQL,4.5stars,64 ratings,45709,5,IBM,Computer Science,Introductory,English,8316
FullbridgeX: Problem Solving and Critical Thinking Skills,4.5,218 ratings,32487,3,FullbridgeX,Business & Management,Introductory,English,None
Codio: Python Programming: Basic Skills,4.4,70 ratings,11163,5,Codio,Computer Science,Introductory,English,15847
UniversityofCambridge: The Psychology of Emotions: An Introduction to Embodied Cognition,4.4,54 ratings,42657,5,UniversityofCambridge,Biology & Life Sciences,Intermediate,English,25070
AdelaideX: Introduction to Project Management,4.4,248 ratings,510236,6,AdelaideX,Business & Management,Introductory,English,20878
UBCx: Excel for Everyone: Core Foundations,4.6,43 ratings,185043,6,UBCx,Data Analysis & Statistics,Introductory,English,15847
HarvardX: Data Science: Inference and Modeling,4.3,39 ratings,136813,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
HarvardX: Data Science: Probability,4.3,47 ratings,205869,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
"HarvardX: PredictionX: Omens, Oracles & Prophecies",4.8stars,56 ratings,175526,1,HarvardX,Social Sciences,Introductory,English,None
SOLIDWORKS: SOLIDWORKS CAD Fundamentals,4.5,73 ratings,29342,5,SOLIDWORKS,Design,Introductory,English,8301
IBM: Introduction to Generative AI,4.4,73 ratings,9503,3,IBM,Computer Science,Introductory,English,4108
IBM: R Programming Basics for Data Science,4.5stars,262 ratings,19379,5,IBM,Data Analysis & Statistics,Introductory,English,8316
CurtinX: Introduction to the Internet of Things (IoT),4.4,92 ratings,119876,6,CurtinX,Computer Science,Introductory,English,12493
"HarvardX: Fundamentals of Neuroscience, Part 3: The Brain",4.9,42 ratings,128447,8,HarvardX,Biology & Life Sciences,Introductory,English,20878
IBM: Developing Front End Apps with React,4.5stars,116 ratings,18566,4,IBM,Computer Science,Intermediate,English,2016
HarvardX: Food Fermentation: The Science of Cooking with Microbes,4.7,71 ratings,66524,14,HarvardX,Biology & Life Sciences,Introductory,English,20878
Codio: C++ Programming: Basic Skills,4.5,37 ratings,21310,5,Codio,Computer Science,Introductory,English,15847
HarvardX: Leadership: Creating Public Value,4.6,38 ratings,53633,7,HarvardX,Social Sciences,Introductory,English,17524
UniversityofCambridge: Introduction to Cognitive Psychology and Neuropsychology,4.4,23 ratings,15731,5,UniversityofCambridge,Biology & Life Sciences,Introductory,English,25070
LCIEducation: Graphic Design Essentials,4.1,7 ratings,9119,4,LCIEducation,Design,Introductory,English,8301
HarvardX: PredictionX: Lost Without Longitude,4.7,34 ratings,51423,1,HarvardX,History,Introductory,English,None
UCx: Mental Health and Nutrition,4.7stars,127 ratings,80530,8,UCx,Food & Nutrition,Introductory,English,15876
IBM: Data Science and Machine Learning Capstone Project,4.4,127 ratings,37220,6,IBM,Data Analysis & Statistics,Intermediate,English,12493
UPValenciaX: Marketing digital en redes sociales,4.3,36 ratings,46068,3,UPValenciaX,Business & Management,Introductory,Español,3773
IBM: Analyzing Data with R,4.5stars,167 ratings,11085,6,IBM,Data Analysis & Statistics,Introductory,English,8316
HarvardX: Early Childhood Development: Global Strategies for Implementation,4.8,155 ratings,74466,7,HarvardX,Education & Teacher Training,Introductory,English,12493
HarvardX: Principles of Biochemistry,4.6,42 ratings,386139,15,HarvardX,Medicine,Intermediate,English,25070
"GTx: Data Structures & Algorithms I: ArrayLists, LinkedLists, Stacks and Queues",4.7,15 ratings,37922,5,GTx,Computer Science,Intermediate,English,15847
IBM: DevOps Basics for Everyone,4.5,77 ratings,15728,3,IBM,Computer Science,Introductory,English,8301
IBM: SQL for Data Science,4.2stars,69 ratings,119098,4,IBM,Data Analysis & Statistics,Introductory,English,8316
"FullbridgeX: Resume, Networking, and Interview Skills",4.4,120 ratings,72912,3,FullbridgeX,Business & Management,Introductory,English,None
StanfordOnline: Quantum Mechanics for Scientists and Engineers 1,4.5,29 ratings,34204,9,StanfordOnline,Engineering,Introductory,English,13331
"WageningenX: Nutrition, Exercise and Sports",4.5stars,29 ratings,120885,6,WageningenX,Food & Nutrition,Intermediate,English,17556
IBM: Full Stack Application Development Project,4.3,54 ratings,29646,2,IBM,Computer Science,Intermediate,English,8301
IBM: Beginners Guide to Cybersecurity,4.5stars,61 ratings,17132,4,IBM,Computer Science,Introductory,English,4116
HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,None,None,23899,8,HarvardX,Art & Culture,Introductory,English,18362
Codio: Java Programming: Basic Skills,4.6,26 ratings,10184,5,Codio,Computer Science,Introductory,English,15847
ArmEducationX: Embedded Systems Essentials with Arm: Getting Started,4.4,68 ratings,32170,6,ArmEducationX,Computer Science,Intermediate,English,8301
