Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 Introduction to Personal Financial Planning,4.4,27,29502,4,IUx,Economics & Finance,Introductory,English,16685
 Product Management Fundamentals,4.3,50,69413,4,UMD,Business & Management,Introductory,English,20878
 Ethical Hacking Essentials (EHE),4.6,41,18186,1,EC-Council,Computer Science,Intermediate,English,10816
 Soft Skills: Develop Interpersonal Skills,4.3,51,6405,1,IBM,Communication,Introductory,English,2436
 Databases: Advanced Topics in SQL,4.4,7,41677,2,StanfordOnline,Computer Science,Introductory,English,5785
 Energy and Thermodynamics,4.3,16,25419,10,HarvardX,Chemistry,Introductory,English,20916
 Pre-University Calculus,4.3,15,146214,8,DelftX,Math,Introductory,English,4192
 Introduction to Cloud Infrastructure Technologies,4.5,17,130351,14,LinuxFoundationX,Computer Science,Introductory,English,15847
 Machine Learning at the Edge on Arm: A Practical Introduction,4.6,150,7831,6,ArmEducationX,Computer Science,Intermediate,English,8301
 CS50's Introduction to Programming with R,,,6482,7,HarvardX,Computer Science,Introductory,English,25116
 Statistical Learning with R,4.4,41,95380,11,StanfordOnline,Data Analysis & Statistics,Introductory,English,15847
 Introduction to Object-Oriented Programming with Java I: Foundations and Syntax Basics,4.2,30,34355,6,GTx,Computer Science,Introductory,English,20878
 50-hour English Language Teaching Methodology,4,7,9105,10,TEFLx,Education & Teacher Training,Intermediate,English,25116
 Nutrition and Health: Micronutrients and Malnutrition,4.8,51,98468,7,WageningenX,Biology & Life Sciences,Intermediate,English,20878
 Child Protection: Children's Rights in Theory and Practice,4.8,91,33707,16,HarvardX,Social Sciences,Introductory,English,12493
 Project Management Principles,4.5,53,12945,5,UMD,Business & Management,Introductory,English,9978
 Visualizing Data with R,4.6,124,8046,4,IBM,Data Analysis & Statistics,Introductory,English,8301
" U.S. Public Policy: Social, Economic, and Foreign Policies",4.8,67,84361,4,HarvardX,Social Sciences,Introductory,English,12493
 Genetics: The Fundamentals,,,16680,7,MITx,Biology & Life Sciences,Advanced,English,8316
 Financial accounting and capital markets,4.7,27,21886,5,UniversityofCambridge,Economics & Finance,Intermediate,English,25070
 Fat Chance: Probability from the Ground Up,4.6,48,104478,7,HarvardX,Math,Introductory,English,12493
 AI Applications and Prompt Engineering,4.2,25,9503,1,edX,Computer Science,Introductory,English,8316
 Introduction to the Internet of Things,4.4,74,17912,6,UPValenciaX,Electronics,Introductory,English,3270
